stop_id,stop_name,latitude,longitude
3552376725,Derb Milan,37.1546225,6.317042678
3715436035,Rsidences Alassil,37.17967359,6.334566157
3769564809,Ouad Dahab,37.12178288,6.324743551
3769570872,Mosque Ain Choc,37.1355202,6.299627975
3827124148,Caf Latino,37.11772107,6.312928479
3827124150,RTM in Choc,37.11946394,6.315716225
3827124151,Caf Achkid,37.12144186,6.31848431
3827124153,Jamila,37.12292875,6.3186299
3827124155,Caf Souria,37.12771509,6.333124129
3827124156,Caf Souria,37.12784779,6.332959777
3827125857,Stade Tissima,37.12563033,6.334958533
3827125884,Lydec Dar Touzani,37.13075809,6.311550795
3827125887,Cinma Sahra,37.13264907,6.300410925
3827125889,March Ain Choc,37.12826043,6.302339192
3827126009,Caf 2000,37.12212908,6.305510703
3827126010,Belrhazidecor,37.11943217,6.306543421
3827126012,Kora Sebata,37.13442693,6.32782206
3827126014,4me Arrondissement,37.13926014,6.325190458
3827126018,Lyce Alidrissi,37.13913216,6.313440509
3827126019,Carr. Benmsick,37.14003142,6.318818589
3827126022,Zone Urbaine 16 Ben Msick,37.13656745,6.311281999
3827126023,Lyce Ibn Hazem,37.1463328,6.32068754
3843048973,Terminus Tacharouk,37.15446304,6.371401225
3843048974,Terminus Tacharouk,37.15459349,6.371208203
3843048975,Facult de Ben M'Sick,37.15006979,6.352261059
3843048976,Facult de Ben M'Sick,37.1502547,6.353154224
3843048984,Hay Chifa,37.15593448,6.313547405
3843048985,Hay Chifa,37.156032,6.313079289
3843048995,Pharmacie Andalouss,37.13598933,6.296620278
3843048998,Bin Lmdoun,37.13873696,6.298857113
3843049008,Hay Lmasjid  2,37.144488,6.295488499
3843049012,Clinique Dar Salam,37.14458083,6.282072424
3843049013,Clinique Dar Salam,37.14435809,6.282060259
3843049014,Villa Des Lilas,37.14144168,6.271892355
3843049020,Cit de l'Air,37.15197144,6.242059569
3843049026,Ain Diab,37.1767095,6.227908547
3843049027,Peugeot Rapide,37.16114505,6.232315389
3843049028,Lyce Ibn Tofail,37.16954261,6.262573727
